Id,empresa,telefone,site,email
22,Bella Produtos Para Iluminação Ltda-ME,+55 (11) 5660-2600,www.bellailuminacao.com.br,comercial@bellailuminacao.com.br 
23,Bernadete Casa,+55 (16) 3352-9090,www.bernadetecasa.com.br,bernadetecasa@bernadetecasa.com.br 
24,Bolis Design,+55 (49) 3324-2457,www.bolis.com.br,bolis@bolis.com.br 
25,Bonté Móveis,+55 (54) 3293-3467,www.bonte.com.br,comercial@bonte.com.br 
26,BTC Decorações e Presentes Ltda,+55 (11) 3181-2234,www.btcdecor.com.br,pedidos.net@btcdecor.com.br 
27,Buchara Com. Imp. Exp. Ltda.,+55 (19) 3794-7102,www.buchara.com.br,alessandro@buchara.com.br 
28,Butzke Importação e Exportação Ltda.,+55 (47) 3312-4000,www.butzke.com.br,marketing@butzke.com.br 
29,ByArtDesign,+55 (11) 4723 8585,www.byartdesign.com.br,adm@byartdesign.com.br 
30,Cabanna Móveis,+55 (83) 3245-4450,www.cabanna.ind.br,financeiro@cabanna.ind.br 
31,Camacã Design em Madeira Ltda.,+55 (71) 8224-6911,www.camacadesign.com,euvaldo@camacadesign.com 
32,Carppem - Movelim Indústria Moveleira Ltda.,+55 (43) 3274-5500,www.carppem.com.br,carppem@carppem.com.br 
33,Cartago Ind. De Tapetes Ltda.,19-3816-5009,www.cartago.com.br,contato@cartago.com.br 
34,Casa Libre Decor,+55 (11) 4301-2401,www.casalibredecor.com.br,marcelo@casalibredecor.com.br 
35,Casa Mundo,+55 (16) 3610-9797,www.casamundodecor.com.br,marketing@casamundodecor.com.br 
36,Casalecchi Móveis Ltda.,+55 (19) 3651-9060,www.casalecchi.com.br,vendas@casalecchi.com.br 
37,Century,+55 (44) 3264-8550,www.meucentury.com,contato@meucentury.com 
38,Cerâmica Mazzotti Ltda. EPP,+55 (19) 3581-3962,www.ceramicamazzotti.com.br,contato@ceramicamazzotti.com.br 
39,CGS Móveis,+55 (45) 3264-1801,www.cgsmoveis.com.br,comercial@cgsmoveis.com.br 
40,China Shopping - Vacheron do Brasil Ltda,11-5666-7999,www.chinashopping.com.br,chinashopping@uol.com.br 
41,Combinare - Majoka Moveis e Estofados Ltda.,+55 (43) 3303-3100,www.combinare.com.br,carlos@combinare.com.br 
42,Companhia das Folhas,+55 (11) 3831-0300,www.ciadasfolhas.com.br,angela@ciadasfolhas.com.br 
43,Cristais di Murano,+55 (47) 3327-0459,www.cristaisdimurano.com.br,comercial@cristaisdimurano.com.br 
44,Cristais São Marcos,+55 (35) 3697-1892,www.cristaissaomarcos.com.br,vendas@cristaissaomarcos.com.br 
45,D Angelis,+55 (45) 3286-8100 (45) 9972-0582,www.anjos.ind.br,dangelis@anjos.ind.br 
46,Daeve Flores e Plantas Pemanentes,+55 (11) 3208-3515,www.daeve.com.br,contato@daeve.com.br 
47,Deco Inside and Outside,+55 (43) 3253-1267,www.decometal.com.br,decometal@decometal.com.br 
48,Decorare Textil Ltda.,83-3245-3344,www.decorareonline.com.br,vendas2@decorareonline.com.br 
49,Decorative,+55 (11) 3361-2401,,sanslemes@gmail.com 
50,Decortextil,+55 (19) 3478-5005,www.decortextil.com.br,vendas@decortextil.com.br 
51,Delinear,+55 (11) 2015-4651,www.delinearmoveis.com.br,renan@delinearmoveis.com.br 
52,Desigan Indústria e Comércio de Móveis Ltda,41-3677-2525,www.desigan.com.br,desigan@desigan.com.br 
53,Destack Móveis,+55 (17) 3422-4040,www.dkline.com.br,ederval@destackmoveis.com.br 
54,DF Decor,+55 (54) 98435-5408,,dfdecormoveis@gmail.com 
55,DiBrianza,+55 (41) 3272-0380,www.dibrianza.com.br,contato@dibrianza.com.br 
56,Doimo Brasil,+55 (31) 3626-9350,www.doimobrasil.com.br,recepcao@doimobrasil.com.br 
57,Eduardo Moraes,+55 (21) 2716-5533,www.eduardomoraesimport.com.br,administrativo1@teratai.com.br 
58,Elisê Móveis Ltda.,+55 (54) 3281-9012,www.elise.com.br,comercial@elise.com.br 
59,Empório Tapetes,+55 (48) 3015-5010,www.emporiotapetes.com.br,comercial_dws@emporiotapetes.com.br 
60,Emporio Tiffany - Due Vetri Moveis e Artigos de Decoração Ltda-ME,+55 (11) 3445-2329,www.lucamilani.com.br,duevetridecor@gmail.com 
61,Emporio Tiffany - Serbin Indústria e Comercial Ltda,+55 (11) 3588-4002,www.emporiotiffany.com.br,miguel@emporiotiffany.com.br 
62,Entrecasa,+55 (71) 3016-6334,www.entrecasa.com.br,representanteentrecasa@hotmail.com 
63,Escal,+55 (49) 3322-2132,www.escalmoveis.com.br,altemir@escalmoveis.com.br 
64,Essenza Design,(54) 3293.1077,www.essenzadesign.com.br,comercial@essenzadesign.com.br 
65,Estobel Indústria de Estofados Ltda.,+55 (54) 2109-3000,www.estobel.com,estobel@estobel.com.br 
66,Estofados Enele,+55 (49) 3344-8999,www.enele.com.br,anamaria@enele.com.br 
67,Estofados Imperial-Casavetti,+55 (54) 3454-9799,www.vilaimperial.com.br,vila.adm@vilaimperial.com.br 
68,Estofados Jardim Ltda.,+55 (47) 2106-7599,www.estofadosjardim.com.br,jardim@estofadosjardim.com.br 
69,Estofados Mannes,+55 (47) 3373-9200,www.mannes.com.br,marcio@estofadosmannes.com.br 
70,Estofados Tironi Ltda.,+55 (47) 3370-4077,www.estofadostironi.com.br,richard@estofadostironi.com.br 
71,Estofados Treviso Ltda.,+55 (54) 3477-1215,www.estofadostreviso.com.br,estofadostreviso@estofadostreviso.com.br 
72,Feeling Estofados Ltda.,+55 (47) 3376-1300,www.feelingestofados.com.br,feeling@feelingestofados.com.br 
73,Fibras Arte - Artes Primavera Móv.Ind.Com.Ltda,+55 (21) 2676-3787,www.fibrasarte.com.br,cristiane.alves@fibrasarte.com.br 
74,Flor de Liz Imports Ltda - EPP,(54) 3225-6830,www.flordelizimports.com.br,comercial@flordelizimports.com.br 
75,Formanova Ind. E Com. De Móveis Ltda.,+55 (48) 3242-3099 (48) 3286-0644,www.formanovamoveis.com.br,formanova@formanovamoveis.com.br 
76,Formline Móveis,+55 (44) 3268-1878,www.formlinemoveis.com.br,formline@terra.com.br 
77,Frontier Importadora,+55 (17) 3213-9600,www.frontierimportadora.com.br,admin@frontierimportadora.com.br 
78,Fuzimoto - Fabio Fuzimoto ME.,+55 (11) 45941361,www.fabiofuzi.com.br,vendas@fabiofuzi.com.br 
79,German Interiores,+55 (61) 3354-7979,www.german.com.br,german@german.com.br 
80,Germânia Moveis e Decoração,+55 (54) 3281-8250,www.germania.com.br,germania@germania.com.br 
81,Gold Line Ind. e Com. de Móveis e Estofados Ltda,+55 (44) 3032-9100,www.goldline.ind.br,goldline@goldline.ind.br 
82,Goods BR Distribuidora Ltda - ME,54 32955300,www.goodsbr.com.br,josue@goodsbr.com.br 
